game_str,play_id,at_bat,play_per_game,end_time,player_position,event_code,almost_caught,start_time,player_position_hit,inning,game_state,player_id,field_x,field_y,handedness,ball_position_x,ball_position_y,ball_position_z,exit_velocity,launch_angle,field_end_x,field_end_y,actual_distance,max_speed,mean_speed,p1_x,p1_y,p2_x,p2_y,initial_angle,angle_error,straight_line,route_efficiency,max_player_speed,actual_time,league,handedness_encode
1883_001_Vis1AB_Home1A,2,1.0,2,73273,CF,Fielded,0,67773,BA,1,000,594.0,-5.6358,308.5794,R,-16.98135,329.472,4.78737,82.100106134084,34.34124219235527,-18.0411,328.0791,41.72895188553526,24.000818986028047,6.840811784513998,-10.7935,344.8631,-5.6593,301.183,209.31379476714463,3.440282576620092,23.11124765520024,0.5538420355870817,18.968680839068025,5.5,Home1A,1
1883_001_Vis1AB_Home1A,4,2.0,4,119873,LF,Fielded,0,114723,BA,1,000,492.0,-125.0325,241.4478,L,-133.041,182.3649,4.71825,71.30544146971754,46.82617014005077,-131.9796,178.281,72.26676871944247,17.12189755839074,11.944920449494608,-135.5942,244.0112,-135.8561,243.4874,278.70240682968745,74.29507822915917,63.54767360533349,0.8793484852220436,18.278859074000547,5.15,Home1A,0
1883_001_Vis1AB_Home1A,49,12.0,49,1624623,CF,Fielded,0,1621073,BA,2,000,,-1.0332,311.2104,L,29.13606,260.802,2.199318,68.55709815706632,22.26933085551691,30.5283,244.6044,88.64719920719622,37.68489235758264,15.416904209946882,12.5057,315.9278,-1.5332,319.2104,104.99471999625176,79.66492982459548,73.70541037298415,0.8314465773556089,12.877761,3.55,Home1A,0
1883_001_Vis1AB_Home1A,52,13.0,52,1704123,LF,Fielded,0,1700073,BA,2,000,,-131.7357,266.6529,R,-89.3607,302.469,3.87144,88.44038976675671,21.58686833072793,-86.8119,308.9538,64.03020667299207,19.69757690683556,11.857445680183746,-132.5213,259.6108,-100.7351,310.5827,154.55472100477425,20.769191491108415,61.7050560914582,0.9636866613064576,12.877761,4.05,Home1A,1
1883_001_Vis1AB_Home1A,66,16.0,66,2067123,RF,Fielded,0,2062623,BA,3,000,537.0,126.2733,231.2652,R,100.1898,313.698,6.41826,93.98690886851946,25.09958055823635,96.4707,330.6606,105.2338065832231,27.92694956504418,18.625452492606332,122.6582,231.5527,123.5444,228.5404,222.5151384543525,25.73100453732502,103.76724197895982,0.9860637503110422,18.625452492606332,4.5,Home1A,1
1883_001_Vis1AB_Home1A,82,20.0,82,2554773,CF,Fielded,0,2551623,BA,3,000,,-2.2095,289.0509,L,41.1819,309.828,4.54266,102.937943689551,15.322556037892944,52.2318,319.5942,79.93246365751028,29.03864253015064,9.868205389815351,57.3527,329.141,6.8584,277.2301,47.28181955593232,71.69303517946923,62.42394028399681,0.7809585420945747,12.877761,3.15,Home1A,0
1883_001_Vis1AB_Home1A,101,25.0,101,3132023,RF,Fielded,0,3127173,BA,4,000,537.0,111.7743,245.8377,R,146.6709,306.789,5.07279,95.5392741762914,28.498489899832435,152.0055,307.5513,80.43334437186658,28.792289592770732,13.988407716846298,110.2399,242.6386,139.9732,313.2038,207.00393783982463,60.11831059769736,73.66897500576484,0.915900931150791,18.625452492606332,4.85,Home1A,1
1883_001_Vis1AB_Home1A,111,27.0,111,3488823,RF,Fielded,0,3483173,BA,4,000,,142.2234,258.2655,R,181.1124,238.9065,4.3284,93.4893412570499,42.8698787586574,185.8461,240.7986,53.63794966883547,15.428431547068897,8.315961188966941,149.8264,270.7169,182.3114,232.9684,157.82394179431503,88.69853913114366,46.989706861183976,0.8760533754795211,12.877761,5.65,Home1A,1
1883_001_Vis1AB_Home1A,115,29.0,115,3618073,LF,Fielded,0,3612323,BA,4,000,,-127.3788,264.6129,R,-117.5064,329.511,4.97073,84.1440689467419,29.119407303500793,-118.5996,332.4123,75.06876864369754,26.286745709482098,12.107865910273484,-123.1862,337.9553,-128.3825,256.9192,167.56051053087475,5.361732762010206,68.365437122862,0.910704123140052,12.877761,5.75,Home1A,1
1883_001_Vis1AB_Home1A,127,32.0,127,3982323,LF,Fielded,0,3978723,BA,5,000,492.0,-121.4463,240.9885,L,-121.3062,266.5473,4.4922,72.94734392558223,25.216304996806137,-121.4946,267.2511,34.894484709825505,22.53425312730693,8.408309568633744,-120.8422,230.0176,-123.9536,250.8178,18.807985028469773,158.42193333716028,26.262644414643415,0.7526302403671388,18.278859074000547,3.6,Home1A,0
1883_001_Vis1AB_Home1A,170,48.0,170,5740615,RF,Fielded,0,5737115,BA,7,000,537.0,117.3255,244.2828,R,163.4574,235.1976,2.899716,80.92492361318442,19.547645234115315,159.7221,214.2771,70.88087160705417,38.56628434253359,9.326430474610456,159.0068,205.4956,164.4395,216.1549,58.95751393059817,4.519528557693889,51.940482516530416,0.7327856068767814,18.625452492606332,3.5,Home1A,1
1883_001_Vis1AB_Home1A,196,55.0,196,6747065,LF,Fielded,0,6741315,BA,8,000,492.0,-143.9094,227.6877,L,-94.9578,140.4615,4.99782,92.8189573524962,60.25337968401899,-94.0593,137.9253,104.1278349595306,26.266059316063956,16.269974212426312,-142.1027,225.4832,-99.6985,138.4162,359.56310694640797,330.58769468665935,102.67580495798416,0.9860553136237704,18.278859074000547,5.75,Home1A,0
