game_str,play_id,at_bat,play_per_game,end_time,player_position,event_code,almost_caught,start_time,player_position_hit,inning,game_state,player_id,field_x,field_y,handedness,ball_position_x,ball_position_y,ball_position_z,exit_velocity,launch_angle,field_end_x,field_end_y,actual_distance,max_speed,mean_speed,p1_x,p1_y,p2_x,p2_y,initial_angle,spray_angle,straight_line,route_efficiency,max_player_speed,actual_time,league,handedness_encode,p1_y_pred,p2_y_pred,expected_distance,n_route_efficiency,route_chng
1883_001_Vis1AB_Home1A,2,1.0,2,73273,CF,Fielded,0,67773,BA,1,000,594.0,-5.6358,308.5794,R,-16.98135,329.472,4.78737,82.100106134084,34.34124219235527,-18.0411,328.0791,41.72895188553526,24.000818986028047,6.840811784513998,-5.132525968981261,308.5570126710677,-10.26672596898126,337.48908732893227,29.31379476714463,-3.1475301435007723,23.11124765520024,0.5538420355870817,18.968680839068025,5.5,Home1A,1,307.34085,319.6696,23.38753497041728,0.5604630337845661,0.006620998197484407
1883_001_Vis1AB_Home1A,4,2.0,4,119873,LF,Fielded,0,114723,BA,1,000,492.0,-125.0325,241.4478,L,-133.041,182.3649,4.71825,71.30544146971754,46.82617014005077,-131.9796,178.281,72.26676871944247,17.12189755839074,11.944920449494608,-136.4180157739748,237.03479910167937,-136.67991577397478,236.51099910167935,98.70240682968743,-36.512167498003365,63.54767360533349,0.8793484852220436,18.278859074000547,5.15,Home1A,0,240.41573,215.72499,67.38495242506009,0.9324472868942737,0.053098801672230134
1883_001_Vis1AB_Home1A,49,12.0,49,1624623,CF,Fielded,0,1621073,BA,2,000,,-1.0332,311.2104,L,29.13606,260.802,2.199318,68.55709815706632,22.26933085551691,30.5283,244.6044,88.64719920719622,37.68489235758264,15.416904209946882,-2.2920808704994675,311.60366461021414,13.264580870499469,308.32106461021414,284.9947199962518,7.114118591951559,73.70541037298415,0.8314465773556089,12.877761,3.55,Home1A,0,307.3678,276.69827,71.57537657546476,0.8074183642076579,-0.024028213147951005
1883_001_Vis1AB_Home1A,52,13.0,52,1704123,LF,Fielded,0,1700073,BA,2,000,,-131.7357,266.6529,R,-89.3607,302.469,3.87144,88.44038976675671,21.58686833072793,-86.8119,308.9538,64.03020667299207,19.69757690683556,11.857445680183746,-132.88748387603584,266.0900257743466,-101.10128387603584,304.1034742256534,334.55472100477425,-15.694655243278955,61.7050560914582,0.9636866613064576,12.877761,4.05,Home1A,1,270.41302,288.86288,62.489751289476175,0.9759417396326217,0.012255078326164015
1883_001_Vis1AB_Home1A,66,16.0,66,2067123,RF,Fielded,0,2062623,BA,3,000,537.0,126.2733,231.2652,R,100.1898,313.698,6.41826,93.98690886851946,25.09958055823635,96.4707,330.6606,105.2338065832231,27.92694956504418,18.625452492606332,123.76886702147156,235.27412744263285,122.88266702147156,238.28642744263283,42.515138454352496,16.264679969381014,103.76724197895982,0.9860637503110422,18.625452492606332,4.5,Home1A,1,240.02092,264.5871,103.39223023593813,0.9825001450857089,-0.0035636052253332773
1883_001_Vis1AB_Home1A,82,20.0,82,2554773,CF,Fielded,0,2551623,BA,3,000,,-2.2095,289.0509,L,41.1819,309.828,4.54266,102.937943689551,15.322556037892944,52.2318,319.5942,79.93246365751028,29.03864253015064,9.868205389815351,6.35356011241756,284.1416309064593,57.85753988758244,322.22946909354073,227.2818195559323,9.28188358231363,62.42394028399681,0.7809585420945747,12.877761,3.15,Home1A,0,292.9065,294.0659,68.4622215075649,0.8565008305124641,0.07554228841788935
1883_001_Vis1AB_Home1A,101,25.0,101,3132023,RF,Fielded,0,3127173,BA,4,000,537.0,111.7743,245.8377,R,146.6709,306.789,5.07279,95.5392741762914,28.498489899832435,152.0055,307.5513,80.43334437186658,28.792289592770732,13.988407716846298,109.92495107928336,249.91007438743992,139.65825107928336,305.9323256125601,27.003937839824644,26.30062585282939,73.66897500576484,0.915900931150791,18.625452492606332,4.85,Home1A,1,252.01994,273.45334,74.20815439778082,0.9226043623735833,0.006703431222792378
1883_001_Vis1AB_Home1A,111,27.0,111,3488823,RF,Fielded,0,3483173,BA,4,000,,142.2234,258.2655,R,181.1124,238.9065,4.3284,93.4893412570499,42.8698787586574,185.8461,240.7986,53.63794966883547,15.428431547068897,8.315961188966941,149.2353766302628,263.52577573104844,182.9024233697372,240.15952426895157,337.82394179431503,37.66062296536439,46.989706861183976,0.8760533754795211,12.877761,5.65,Home1A,1,252.91467,248.7633,47.44895643092315,0.8846154024133359,0.008562026933814804
1883_001_Vis1AB_Home1A,115,29.0,115,3618073,LF,Fielded,0,3612323,BA,4,000,,-127.3788,264.6129,R,-117.5064,329.511,4.97073,84.1440689467419,29.119407303500793,-118.5996,332.4123,75.06876864369754,26.286745709482098,12.107865910273484,-128.87510857675844,263.8847428854735,-123.67880857675844,330.9897571145265,347.56051053087475,-19.63561899338098,68.365437122862,0.910704123140052,12.877761,5.75,Home1A,1,267.11685,287.81534,68.69019224240692,0.9150302247321312,0.004326101592079246
1883_001_Vis1AB_Home1A,127,32.0,127,3982323,LF,Fielded,0,3978723,BA,5,000,492.0,-121.4463,240.9885,L,-121.3062,266.5473,4.4922,72.94734392558223,25.216304996806137,-121.4946,267.2511,34.894484709825505,22.53425312730693,8.408309568633744,-124.34421410785586,257.8190543767377,-120.45158589214414,237.01885437673772,198.80798502846977,-24.44694455935119,26.262644414643415,0.7526302403671388,18.278859074000547,3.6,Home1A,0,242.85913,246.18402,24.88328475548132,0.7131007940769145,-0.03952944629022426
